"magnetic field strength:0","magnetic field strength:1","magnetic field strength:2","magnetic flux density:0","magnetic flux density:1","magnetic flux density:2","potential","GeometryIds","magnetic field strength e:0","magnetic field strength e:1","magnetic field strength e:2","magnetic flux density e:0","magnetic flux density e:1","magnetic flux density e:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.179e+05,1938.4,0,-0.44304,0.0025157,0,1.6002e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0,-0.11,0,0
1.3363e+05,1824.4,0,-0.44537,0.0023681,0,1.6164e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.00022,-0.10978,0,0
1.4935e+05,1710.3,0,-0.4477,0.0022206,0,1.6326e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.00044,-0.10956,0,0
1.6508e+05,1596.3,0,-0.45003,0.0020731,0,1.6488e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.00066,-0.10934,0,0
1.8081e+05,1482.3,0,-0.45235,0.0019256,0,1.665e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.00088,-0.10912,0,0
1.9653e+05,1368.2,0,-0.45468,0.0017781,0,1.6812e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.0011,-0.1089,0,0
2.1226e+05,1254.2,0,-0.45701,0.0016306,0,1.6973e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.00132,-0.10868,0,0
2.2798e+05,1140.2,0,-0.45934,0.0014831,0,1.7135e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.00154,-0.10846,0,0
2.4371e+05,1026.1,0,-0.46167,0.0013356,0,1.7297e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.00176,-0.10824,0,0
2.5943e+05,912.12,0,-0.464,0.0011881,0,1.7459e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.00198,-0.10802,0,0
2.7516e+05,798.09,0,-0.46632,0.0010405,0,1.7621e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.0022,-0.1078,0,0
2.9089e+05,684.06,0,-0.46865,0.00089303,0,1.7783e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.00242,-0.10758,0,0
3.0661e+05,570.03,0,-0.47098,0.00074551,0,1.7945e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.00264,-0.10736,0,0
3.2234e+05,456,0,-0.47331,0.000598,0,1.8107e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.00286,-0.10714,0,0
3.3806e+05,341.97,0,-0.47564,0.00045049,0,1.8269e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.00308,-0.10692,0,0
3.5379e+05,227.95,0,-0.47797,0.00030298,0,1.8431e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.0033,-0.1067,0,0
3.6952e+05,113.92,0,-0.48029,0.00015547,0,1.8593e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.00352,-0.10648,0,0
3.8524e+05,-0.11385,0,-0.48262,7.9582e-06,0,1.8755e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.00374,-0.10626,0,0
4.0097e+05,-114.14,0,-0.48495,-0.00013955,0,1.8917e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.00396,-0.10604,0,0
4.1669e+05,-228.17,0,-0.48728,-0.00028707,0,1.9079e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.00418,-0.10582,0,0
4.3242e+05,-342.2,0,-0.48961,-0.00043458,0,1.9241e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.0044,-0.1056,0,0
4.4815e+05,-456.23,0,-0.49194,-0.00058209,0,1.9403e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.00462,-0.10538,0,0
4.6387e+05,-570.26,0,-0.49426,-0.0007296,0,1.9565e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.00484,-0.10516,0,0
4.796e+05,-684.29,0,-0.49659,-0.00087711,0,1.9727e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.00506,-0.10494,0,0
4.9532e+05,-798.32,0,-0.49892,-0.0010246,0,1.9889e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.00528,-0.10472,0,0
5.1105e+05,-912.35,0,-0.50125,-0.0011721,0,2.0051e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.0055,-0.1045,0,0
5.2677e+05,-1026.4,0,-0.50358,-0.0013196,0,2.0213e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.00572,-0.10428,0,0
5.425e+05,-1140.4,0,-0.50591,-0.0014672,0,2.0375e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.00594,-0.10406,0,0
5.5823e+05,-1254.4,0,-0.50823,-0.0016147,0,2.0537e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.00616,-0.10384,0,0
5.7395e+05,-1368.5,0,-0.51056,-0.0017622,0,2.0699e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.00638,-0.10362,0,0
5.8968e+05,-1482.5,0,-0.51289,-0.0019097,0,2.0861e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.0066,-0.1034,0,0
